frame,frame_ms,render_ms,input_ms,movement_ms,npc_ms,combat_ms,animation_ms,npcs,corpses,drops,avatar_moved
83,31.010,15.569,0.001,0.002,0.068,0.003,0.002,60,0,6,false
84,30.317,14.285,0.001,0.007,0.064,0.002,0.002,60,0,6,true
85,31.809,15.270,0.001,0.002,0.047,0.003,0.002,60,0,6,false
86,30.012,14.642,0.001,0.008,0.048,0.003,0.002,60,0,6,true
87,30.153,15.028,0.001,0.002,0.041,0.003,0.002,60,0,6,false
88,27.924,12.225,0.001,0.017,0.056,0.002,0.002,60,0,6,true
89,28.109,12.276,0.006,0.002,0.043,0.002,0.001,60,0,6,false
90,28.001,12.092,0.001,0.001,0.038,0.002,0.001,60,0,6,false
91,27.852,12.307,0.001,0.001,0.039,0.002,0.001,60,0,6,false
92,27.939,12.154,0.001,0.001,0.043,0.002,0.001,60,0,6,false
93,27.992,12.214,0.001,0.001,0.041,0.003,0.001,60,0,6,false
94,28.048,12.110,0.001,0.001,0.056,0.003,0.004,60,0,6,false
95,30.005,14.648,0.001,0.002,0.102,0.005,0.002,60,0,6,false
96,30.025,14.511,0.001,0.002,0.068,0.004,0.002,60,0,6,false
97,30.043,14.357,0.001,0.001,0.042,0.003,0.002,60,0,6,false
98,29.667,14.387,0.001,0.001,0.055,0.003,0.002,60,0,6,false
99,28.030,12.406,0.001,0.001,0.038,0.003,0.002,60,0,6,false
100,29.792,14.658,0.001,0.001,0.040,0.002,0.001,60,0,6,false
101,28.022,12.229,0.001,0.001,0.047,0.003,0.001,60,0,6,false
102,28.025,12.233,0.001,0.001,0.069,0.003,0.002,60,0,6,false
103,29.974,14.749,0.001,0.001,0.061,0.003,0.002,60,0,6,false
104,29.046,13.039,0.002,0.004,0.125,0.010,0.006,60,0,6,false
105,30.425,14.796,0.001,0.002,0.078,0.004,0.002,60,0,6,false
106,30.042,14.517,0.001,0.002,0.052,0.003,0.002,60,0,6,false
107,27.965,12.426,0.001,0.001,0.058,0.003,0.001,60,0,6,false
108,27.130,12.018,0.001,0.001,0.039,0.002,0.001,60,0,6,false
109,27.472,11.923,0.001,0.001,0.031,0.002,0.001,60,0,6,false
110,27.361,12.189,0.001,0.001,0.035,0.002,0.001,60,0,6,false
111,27.966,12.251,0.012,0.001,0.037,0.002,0.001,60,0,6,false
112,27.376,12.205,0.013,0.001,0.038,0.002,0.001,60,0,6,false
113,27.627,12.298,0.001,0.001,0.034,0.002,0.001,60,0,6,false
114,28.004,12.263,0.006,0.012,0.065,0.019,0.002,60,0,6,true
115,29.550,14.415,0.001,0.002,0.047,0.003,0.003,60,0,6,false
116,30.024,14.798,0.001,0.010,0.034,0.003,0.002,60,0,6,true
117,30.991,15.448,0.001,0.002,0.058,0.003,0.002,60,0,6,false
